species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_kg,sex
Adelie,Torgersen,35.9,16.6,190,3.812,female
Adelie,Torgersen,41.8,19.4,198,3.813,male
Adelie,Torgersen,33.5,19,190,3.814,female
Adelie,Torgersen,39.7,18.4,190,3.815,male
Adelie,Torgersen,39.6,17.2,196,3.816,female
Adelie,Torgersen,45.8,18.9,197,3.817,male
Adelie,Torgersen,35.5,17.5,190,3.818,female
Adelie,Torgersen,42.8,18.5,195,3.819,male
Adelie,Torgersen,40.9,16.8,191,3.82,female
Adelie,Torgersen,37.2,19.4,184,3.821,male
Adelie,Torgersen,36.2,16.1,187,3.822,female
Adelie,Torgersen,42.1,19.1,195,3.823,male
Adelie,Torgersen,34.6,17.2,189,3.824,female
Adelie,Torgersen,42.9,17.6,196,3.825,male
Adelie,Torgersen,36.7,18.8,187,3.826,female
Adelie,Torgersen,35.1,19.4,193,3.827,male
Adelie,Dream,37.3,17.8,191,3.828,female
Adelie,Dream,41.3,20.3,194,3.829,male
Adelie,Dream,36.3,19.5,190,3.83,male
Adelie,Dream,36.9,18.6,189,3.831,female
Adelie,Dream,38.3,19.2,189,3.832,male
Adelie,Dream,38.9,18.8,190,3.833,female
Adelie,Dream,35.7,18,202,3.834,female
Adelie,Dream,41.1,18.1,205,3.835,male
Adelie,Dream,34,17.1,185,3.836,female
Adelie,Dream,39.6,18.1,186,3.837,male
Adelie,Dream,36.2,17.3,187,3.838,female
Adelie,Dream,40.8,18.9,208,3.839,male
Adelie,Dream,38.1,18.6,190,3.84,female
Adelie,Dream,40.3,18.5,196,3.841,male
Adelie,Dream,33.1,16.1,178,3.842,female
Adelie,Dream,43.2,18.5,192,3.843,male
Adelie,Biscoe,35,17.9,192,3.844,female
Adelie,Biscoe,41,20,203,3.845,male
Adelie,Biscoe,37.7,16,183,3.846,female
Adelie,Biscoe,37.8,20,190,3.847,male
Adelie,Biscoe,37.9,18.6,193,3.848,female
Adelie,Biscoe,39.7,18.9,184,3.849,male
Adelie,Biscoe,38.6,17.2,199,3.85,female
Adelie,Biscoe,38.2,20,190,3.851,male
Adelie,Biscoe,38.1,17,181,3.852,female
Adelie,Biscoe,43.2,19,197,3.853,male
Adelie,Biscoe,38.1,16.5,198,3.854,female
Adelie,Biscoe,45.6,20.3,191,3.855,male
Adelie,Biscoe,39.7,17.7,193,3.856,female
Adelie,Biscoe,42.2,19.5,197,3.857,male
Adelie,Biscoe,39.6,20.7,191,3.858,female
Adelie,Biscoe,42.7,18.3,196,3.859,male
Adelie,Torgersen,38.6,17,188,3.86,female
Adelie,Torgersen,37.3,20.5,199,3.861,male
Adelie,Torgersen,35.7,17,189,3.862,female
Adelie,Torgersen,41.1,18.6,189,3.863,male
Adelie,Torgersen,36.2,17.2,187,3.864,female
Adelie,Torgersen,37.7,19.8,198,3.865,male
Adelie,Torgersen,40.2,17,176,3.866,female
Adelie,Torgersen,41.4,18.5,202,3.867,male
Adelie,Torgersen,35.2,15.9,186,3.868,female
Adelie,Torgersen,40.6,19,199,3.869,male
Adelie,Torgersen,38.8,17.6,191,3.87,female
Adelie,Torgersen,41.5,18.3,195,3.871,male
Adelie,Torgersen,39,17.1,191,3.872,female
Adelie,Torgersen,44.1,18,210,3.873,male
Adelie,Torgersen,38.5,17.9,190,3.874,female
Adelie,Torgersen,43.1,19.2,197,3.875,male
Adelie,Dream,36.8,18.5,193,3.876,female
Adelie,Dream,37.5,18.5,199,3.877,male
Adelie,Dream,38.1,17.6,187,3.878,female
Adelie,Dream,41.1,17.5,190,3.879,male
Adelie,Dream,35.6,17.5,191,3.88,female
Adelie,Dream,40.2,20.1,200,3.881,male
Adelie,Dream,37,16.5,185,3.882,female
Adelie,Dream,39.7,17.9,193,3.883,male
Adelie,Dream,40.2,17.1,193,3.884,female
Adelie,Dream,40.6,17.2,187,3.885,male
Adelie,Dream,32.1,15.5,188,3.886,female
Adelie,Dream,40.7,17,190,3.887,male
Adelie,Dream,37.3,16.8,192,3.888,female
Adelie,Dream,39,18.7,185,3.889,male
Adelie,Dream,39.2,18.6,190,3.89,male
Adelie,Dream,36.6,18.4,184,3.891,female
Adelie,Dream,36,17.8,195,3.892,female
Adelie,Dream,37.8,18.1,193,3.893,male
Adelie,Dream,36,17.1,187,3.894,female
Adelie,Dream,41.5,18.5,201,3.895,male
Gentoo,Biscoe,46.1,13.2,211,3.896,female
Gentoo,Biscoe,50,16.3,230,3.897,male
Gentoo,Biscoe,48.7,14.1,210,3.898,female
Gentoo,Biscoe,50,15.2,218,3.899,male
Gentoo,Biscoe,47.6,14.5,215,3.9,male
Gentoo,Biscoe,46.5,13.5,210,3.901,female
Gentoo,Biscoe,45.4,14.6,211,3.902,female
Gentoo,Biscoe,46.7,15.3,219,3.903,male
Gentoo,Biscoe,43.3,13.4,209,3.904,female
Gentoo,Biscoe,46.8,15.4,215,3.905,male
Gentoo,Biscoe,40.9,13.7,214,3.906,female
Gentoo,Biscoe,49,16.1,216,3.907,male
Gentoo,Biscoe,45.5,13.7,214,3.908,female
Gentoo,Biscoe,48.4,14.6,213,3.909,male
Gentoo,Biscoe,45.8,14.6,210,3.91,female
Gentoo,Biscoe,49.3,15.7,217,3.911,male
Gentoo,Biscoe,42,13.5,210,3.912,female
Gentoo,Biscoe,49.2,15.2,221,3.913,male
Gentoo,Biscoe,46.2,14.5,209,3.914,female
Gentoo,Biscoe,48.7,15.1,222,3.915,male
Gentoo,Biscoe,50.2,14.3,218,3.916,male
Gentoo,Biscoe,45.1,14.5,215,3.917,female
Gentoo,Biscoe,46.5,14.5,213,3.918,female
Gentoo,Biscoe,46.3,15.8,215,3.919,male
Gentoo,Biscoe,42.9,13.1,215,3.92,female
Gentoo,Biscoe,46.1,15.1,215,3.921,male
Gentoo,Biscoe,47.8,15,215,3.922,male
Gentoo,Biscoe,48.2,14.3,210,3.923,female
Gentoo,Biscoe,50,15.3,220,3.924,male
Gentoo,Biscoe,47.3,15.3,222,3.925,male
Gentoo,Biscoe,42.8,14.2,209,3.926,female
Gentoo,Biscoe,45.1,14.5,207,3.927,female
Gentoo,Biscoe,59.6,17,230,3.928,male
Gentoo,Biscoe,49.1,14.8,220,3.929,female
Gentoo,Biscoe,48.4,16.3,220,3.93,male
Gentoo,Biscoe,42.6,13.7,213,3.931,female
Gentoo,Biscoe,44.4,17.3,219,3.932,male
Gentoo,Biscoe,44,13.6,208,3.933,female
Gentoo,Biscoe,48.7,15.7,208,3.934,male
Gentoo,Biscoe,42.7,13.7,208,3.935,female
Gentoo,Biscoe,49.6,16,225,3.936,male
Gentoo,Biscoe,45.3,13.7,210,3.937,female
Gentoo,Biscoe,49.6,15,216,3.938,male
Gentoo,Biscoe,50.5,15.9,222,3.939,male
Gentoo,Biscoe,43.6,13.9,217,3.94,female
Gentoo,Biscoe,45.5,13.9,210,3.941,female
Gentoo,Biscoe,50.5,15.9,225,3.942,male
Gentoo,Biscoe,44.9,13.3,213,3.943,female
Gentoo,Biscoe,45.2,15.8,215,3.944,male
Gentoo,Biscoe,46.6,14.2,210,3.945,female
Gentoo,Biscoe,48.5,14.1,220,3.946,male
Gentoo,Biscoe,45.1,14.4,210,3.947,female
Gentoo,Biscoe,50.1,15,225,3.948,male
Gentoo,Biscoe,46.5,14.4,217,3.949,female
Gentoo,Biscoe,45,15.4,220,3.95,male
Gentoo,Biscoe,43.8,13.9,208,3.951,female
Gentoo,Biscoe,45.5,15,220,3.952,male
Gentoo,Biscoe,43.2,14.5,208,3.953,female
Gentoo,Biscoe,50.4,15.3,224,3.954,male
Gentoo,Biscoe,45.3,13.8,208,3.955,female
Gentoo,Biscoe,46.2,14.9,221,3.956,male
Gentoo,Biscoe,45.7,13.9,214,3.957,female
Gentoo,Biscoe,54.3,15.7,231,3.958,male
Gentoo,Biscoe,45.8,14.2,219,3.959,female
Gentoo,Biscoe,49.8,16.8,230,3.96,male
Gentoo,Biscoe,49.5,16.2,229,3.961,male
Gentoo,Biscoe,43.5,14.2,220,3.962,female
Gentoo,Biscoe,50.7,15,223,3.963,male
Gentoo,Biscoe,47.7,15,216,3.964,female
Gentoo,Biscoe,46.4,15.6,221,3.965,male
Gentoo,Biscoe,48.2,15.6,221,3.966,male
Gentoo,Biscoe,46.5,14.8,217,3.967,female
Gentoo,Biscoe,46.4,15,216,3.968,female
Gentoo,Biscoe,48.6,16,230,3.969,male
Gentoo,Biscoe,47.5,14.2,209,3.97,female
Gentoo,Biscoe,51.1,16.3,220,3.971,male
Gentoo,Biscoe,45.2,13.8,215,3.972,female
Gentoo,Biscoe,45.2,16.4,223,3.973,male
Gentoo,Biscoe,49.1,14.5,212,3.974,female
Gentoo,Biscoe,52.5,15.6,221,3.975,male
Gentoo,Biscoe,47.4,14.6,212,3.976,female
Gentoo,Biscoe,50,15.9,224,3.977,male
Gentoo,Biscoe,44.9,13.8,212,3.978,female
Gentoo,Biscoe,50.8,17.3,228,3.979,male
Gentoo,Biscoe,43.4,14.4,218,3.98,female
Gentoo,Biscoe,51.3,14.2,218,3.981,male
Gentoo,Biscoe,47.5,14,212,3.982,female
Gentoo,Biscoe,52.1,17,230,3.983,male
Gentoo,Biscoe,47.5,15,218,3.984,female
Gentoo,Biscoe,52.2,17.1,228,3.985,male
Gentoo,Biscoe,45.5,14.5,212,3.986,female
Gentoo,Biscoe,49.5,16.1,224,3.987,male
Gentoo,Biscoe,44.5,14.7,214,3.988,female
Gentoo,Biscoe,50.8,15.7,226,3.989,male
Gentoo,Biscoe,49.4,15.8,216,3.99,male
Gentoo,Biscoe,46.9,14.6,222,3.991,female
Gentoo,Biscoe,48.4,14.4,203,3.992,female
Gentoo,Biscoe,51.1,16.5,225,3.993,male
Gentoo,Biscoe,48.5,15,219,3.994,female
Gentoo,Biscoe,55.9,17,228,3.995,male
Gentoo,Biscoe,47.2,15.5,215,3.996,female
Gentoo,Biscoe,49.1,15,228,3.997,male
Gentoo,Biscoe,46.8,16.1,215,3.998,male
Gentoo,Biscoe,41.7,14.7,210,3.999,female
Gentoo,Biscoe,53.4,15.8,219,4,male
Gentoo,Biscoe,43.3,14,208,4.001,female
Gentoo,Biscoe,48.1,15.1,209,4.002,male
Gentoo,Biscoe,50.5,15.2,216,4.003,female
Gentoo,Biscoe,49.8,15.9,229,4.004,male
Gentoo,Biscoe,43.5,15.2,213,4.005,female
Gentoo,Biscoe,51.5,16.3,230,4.006,male
Gentoo,Biscoe,46.2,14.1,217,4.007,female
Gentoo,Biscoe,55.1,16,230,4.008,male
Gentoo,Biscoe,48.8,16.2,222,4.009,male
Gentoo,Biscoe,47.2,13.7,214,4.01,female
Gentoo,Biscoe,46.8,14.3,215,4.011,female
Gentoo,Biscoe,50.4,15.7,222,4.012,male
Gentoo,Biscoe,45.2,14.8,212,4.013,female
Gentoo,Biscoe,49.9,16.1,213,4.014,male
Chinstrap,Dream,46.5,17.9,192,4.015,female
Chinstrap,Dream,50,19.5,196,4.016,male
Chinstrap,Dream,51.3,19.2,193,4.017,male
Chinstrap,Dream,45.4,18.7,188,4.018,female
Chinstrap,Dream,52.7,19.8,197,4.019,male
Chinstrap,Dream,45.2,17.8,198,4.02,female
Chinstrap,Dream,46.1,18.2,178,4.021,female
Chinstrap,Dream,51.3,18.2,197,4.022,male
Chinstrap,Dream,46,18.9,195,4.023,female
Chinstrap,Dream,51.3,19.9,198,4.024,male
Chinstrap,Dream,46.6,17.8,193,4.025,female
Chinstrap,Dream,51.7,20.3,194,4.026,male
Chinstrap,Dream,47,17.3,185,4.027,female
Chinstrap,Dream,52,18.1,201,4.028,male
Chinstrap,Dream,45.9,17.1,190,4.029,female
Chinstrap,Dream,50.5,19.6,201,4.03,male
Chinstrap,Dream,50.3,20,197,4.031,male
Chinstrap,Dream,58,17.8,181,4.032,female
Chinstrap,Dream,46.4,18.6,190,4.033,female
Chinstrap,Dream,49.2,18.2,195,4.034,male
Chinstrap,Dream,42.4,17.3,181,4.035,female
Chinstrap,Dream,48.5,17.5,191,4.036,male
Chinstrap,Dream,43.2,16.6,187,4.037,female
Chinstrap,Dream,50.6,19.4,193,4.038,male
Chinstrap,Dream,46.7,17.9,195,4.039,female
Chinstrap,Dream,52,19,197,4.04,male
Chinstrap,Dream,50.5,18.4,200,4.041,female
Chinstrap,Dream,49.5,19,200,4.042,male
Chinstrap,Dream,46.4,17.8,191,4.043,female
Chinstrap,Dream,52.8,20,205,4.044,male
Chinstrap,Dream,40.9,16.6,187,4.045,female
Chinstrap,Dream,54.2,20.8,201,4.046,male
Chinstrap,Dream,42.5,16.7,187,4.047,female
Chinstrap,Dream,51,18.8,203,4.048,male
Chinstrap,Dream,49.7,18.6,195,4.049,male
Chinstrap,Dream,47.5,16.8,199,4.05,female
Chinstrap,Dream,47.6,18.3,195,4.051,female
Chinstrap,Dream,52,20.7,210,4.052,male
Chinstrap,Dream,46.9,16.6,192,4.053,female
Chinstrap,Dream,53.5,19.9,205,4.054,male
Chinstrap,Dream,49,19.5,210,4.055,male
Chinstrap,Dream,46.2,17.5,187,4.056,female
Chinstrap,Dream,50.9,19.1,196,4.057,male
Chinstrap,Dream,45.5,17,196,4.058,female
Chinstrap,Dream,50.9,17.9,196,4.059,female
Chinstrap,Dream,50.8,18.5,201,4.06,male
Chinstrap,Dream,50.1,17.9,190,4.061,female
Chinstrap,Dream,49,19.6,212,4.062,male
Chinstrap,Dream,51.5,18.7,187,4.063,male
Chinstrap,Dream,49.8,17.3,198,4.064,female
Chinstrap,Dream,48.1,16.4,199,4.065,female
Chinstrap,Dream,51.4,19,201,4.066,male
Chinstrap,Dream,45.7,17.3,193,4.067,female
Chinstrap,Dream,50.7,19.7,203,4.068,male
Chinstrap,Dream,42.5,17.3,187,4.069,female
Chinstrap,Dream,52.2,18.8,197,4.07,male
Chinstrap,Dream,45.2,16.6,191,4.071,female
Chinstrap,Dream,49.3,19.9,203,4.072,male
Chinstrap,Dream,50.2,18.8,202,4.073,male
Chinstrap,Dream,45.6,19.4,194,4.074,female
Chinstrap,Dream,51.9,19.5,206,4.075,male
Chinstrap,Dream,46.8,16.5,189,4.076,female
Chinstrap,Dream,45.7,17,195,4.077,female
Chinstrap,Dream,55.8,19.8,207,4.078,male
Chinstrap,Dream,43.5,18.1,202,4.079,female
Chinstrap,Dream,49.6,18.2,193,4.08,male
Chinstrap,Dream,50.8,19,210,4.081,male
Chinstrap,Dream,50.2,18.7,198,4.082,female
